full_text,id_str,created_at,username,user_id_str,lang,location,quote_count,reply_count,retweet_count,favorite_count,tweet_url,mentions,mention_count,source,target
Freebies DAY6 Forever Young in SBY &amp; JKT Haru siapa yang nonton DAY6 di Surabaya dan Jakarta nanti? Cung! Minimalz akan bagi-bagi freebies di konser nya nih! freebies nya kayak apa Minimalz? Check this thread out! #Day6_FOREVER_YOUNG_Indonesia #DAY6_3RD_WORLDTOUR,1.84579735490311E+018,2024-10-14 12:02:37+00:00,mydayxtra,1.51403379575819E+018,in,#minimalz🐻🦊🐰🐶 - (🧑‍🚀) ,0,1,0,4,https://x.com/mydayxtra/status/1845797354903122430,,0,mydayxtra,
Punyi akhirnya nonton @day6official ꒰⁠⑅⁠ᵕ⁠༚⁠ᵕ⁠꒱⁠ #DAY6 #DAY6inBALI #DAY6_3RD_WORLDTOUR #DAY6_FOREVER_YOUNG_Indonesia https://t.co/kUNAlAVYpL,1.84579984861393E+018,2024-10-14 12:12:31+00:00,dungdinan,7.83574455545134E+017,in,Bumi pertiwi,1,1,0,3,https://x.com/dungdinan/status/1845799848613941560,day6official,1,dungdinan,day6official
H-5 KETEMU #DAY6_FOREVER_YOUNG_Indonesia #DAY6_FOREVER_YOUNG_JAKARTA,1.84580240018098E+018,2024-10-14 12:22:40+00:00,gfpcy23,1.52672467210851E+018,in,"EXO,BP,DAY6,NCT,SVT,ENHYPEN",1,0,0,0,https://x.com/gfpcy23/status/1845802400180994059,,0,gfpcy23,
seperti biasa agan ini orgen tunggalnya dan fans nya lah penyanyinya #DAY6_FOREVER_YOUNG_Bali #DAY6inBALI #원필 #wonpil https://t.co/ECP0t8YWde,1.84580360387075E+018,2024-10-14 12:27:27+00:00,skyisclair,1.33016963649157E+018,in,she/her - 24 - skzaespaday6,0,0,3,8,https://x.com/skyisclair/status/1845803603870761342,,0,skyisclair,
241013 DAY6 World Tour Forever Young in Bali Park sungjin jangan deket2 aku anaknya suka ngejar‍️ #DAY6 #데이식스 #DAY6inBali #SUNGJIN #성진 #WONPIL #DAY6_FOREVER_YOUNG_Bali https://t.co/vsa2C9CL1j,1.84580504340211E+018,2024-10-14 12:33:10+00:00,monstraykidsix,1.04935526833142E+018,in,,55,0,529,1110,https://x.com/monstraykidsix/status/1845805043402121354,,0,monstraykidsix,
마지막 wonpil dan sungjin yang kayak abis pulang ngurus berkas cerai di KUA #DAY6_FOREVER_YOUNG_Bali #DAY6inBALI #원필 #성진 #도운 https://t.co/XZdetorgkA,1.84580569516332E+018,2024-10-14 12:35:45+00:00,skyisclair,1.33016963649157E+018,in,she/her - 24 - skzaespaday6,1,0,2,11,https://x.com/skyisclair/status/1845805695163326838,,0,skyisclair,
Ini gemes bgt sih sungjin ngeliat ke arah wonpil yg ttp nyanyi kaya biasa trus ngeliatin masbri sambil nanya 맞아? . Stage Say Wow ini gemes bgt pokoknya That MANA SUARANYA!! OKAY ONE MORE TIME #DAY6_FOREVER_YOUNG_Bali https://t.co/dCiICdITSv,1.84581217143301E+018,2024-10-14 13:01:29+00:00,dendina41,213909405,in,Banjarbaru,0,1,2,16,https://x.com/dendina41/status/1845812171433029663,,0,dendina41,
Ngerecord sambil ngemeter habis nonton project myday yg indah bgt itu padahal gak pengen nangis. Tp liat member pada terharu gitu jadi ikutan sampe gak fokus bapak park sungjin nyuruh berdiri #DAY6_FOREVER_YOUNG_Bali #DAY6inBALI Videonya sama cuman satu distabilin dikit https://t.co/IsLtQ7XOmw,1.84581570084331E+018,2024-10-14 13:15:31+00:00,dendina41,213909405,in,Banjarbaru,0,1,0,1,https://x.com/dendina41/status/1845815700843315280,,0,dendina41,
Hiiiii! Here's my tuyul for #DAY6inBALI fan project THANK YOUUUUU @dfi_official shooo hepi n bangga bisa turut meramaikan #DAY6_3RD_WORLDTOUR #DAY6_FOREVER_YOUNG_INDONESIA https://t.co/cUo9f6Jkry,1.84582181023297E+018,2024-10-14 13:39:47+00:00,chomatoes,9.20159391961116E+017,in,twenty-o,0,2,27,86,https://x.com/chomatoes/status/1845821810232983656,dfi_official,1,chomatoes,dfi_official
Jangan2 nanti DAY6 ada Indonesia Tour sendiri kaya idol kpop konser di Jepang ,1.84583451366827E+018,2024-10-14 14:30:16+00:00,winkpili,4691502042,in,,0,0,0,0,https://x.com/winkpili/status/1845834513668272420,,0,winkpili,
wonpil menyapa rakyat. mana suaranya????? #DAY6 #데이식스 #DAY6inBali #DAY6_FOREVER_YOUNG_Indonesia #DAY6_FOREVER_YOUNG_Bali https://t.co/fhBk1007Zm,1.84583792119219E+018,2024-10-14 14:43:49+00:00,skznim,2314994545,in,dnf,0,0,1,6,https://x.com/skznim/status/1845837921192202374,,0,skznim,
sebelum mulai ngebatin fokus fancam youngk eh pas mulai salfok mulu sama wonpil alias LU TERNYATA ASLINYA SEGANTENG ITU WONPILLLLLLL AAAAAA #DAY6_3RD_WORLDTOUR #DAY6inBALI #DAY6_FOREVER_YOUNG_Bali #SUNGJIN #YOUNGK #WONPIL #DOWOON https://t.co/iltOk1iRU8,1.84583931679232E+018,2024-10-14 14:49:21+00:00,y0urgrace_,1.1589617726881E+018,in,,0,2,2,5,https://x.com/y0urgrace_/status/1845839316792328258,,0,y0urgrace_,
Karena ada beberapa pertanyaan seputar kendala teknis yang kemarin terjadi di konser DAY6 Bali. Ini POV ku sebagai seorang band technician &amp; sound engineer pendapatku ini belum tentu sepenuhnya sesuai dengan yang terjadi di lapangan. Mari kita breakdown A Thread,1.8458529715126E+018,2024-10-14 15:43:37+00:00,bobjinbro,1.42795643832895E+018,in,he/him,154,6,827,2616,https://x.com/bobjinbro/status/1845852971512602807,,0,bobjinbro,
Aku nambah freebies kecil-kecilan guys. Boleh colek aku pas penukaran tiket di Surabaya besok yeahh. Kemungkinan aku pake kaos ini (kalo ga berubah pikiran) wkwkwk #DAY6_FOREVER_YOUNG_Surabaya https://t.co/pI4t65iWvu,1.84586247276036E+018,2024-10-14 16:21:22+00:00,terdesik,2340340177,in,fan account.,0,0,0,1,https://x.com/terdesik/status/1845862472760377703,,0,terdesik,
aku mau upload beberapa foto konser kemarin ️ #DAY6 #데이식스 #DAY6inBali #DAY6_FOREVER_YOUNG_Indonesia #DAY6_FOREVER_YOUNG_Bali https://t.co/dfsfnYQnY9,1.84586851640014E+018,2024-10-14 16:45:23+00:00,kforyoungk,1.20256287841644E+018,in,,0,0,1,2,https://x.com/kforyoungk/status/1845868516400148741,,0,kforyoungk,
Pulang kerja lewat depan Graha Pena eh banner nya @day6official sudah dipasang #DAY6_FOREVER_YOUNG_Surabaya #DAY6_FOREVER_YOUNG_Indonesia #DAY6_3RD_WORLDTOUR https://t.co/YhltooH3qU,1.84589952824477E+018,2024-10-14 18:48:37+00:00,chuzz_woon,389893021,in,Indonesia,1,1,0,9,https://x.com/chuzz_woon/status/1845899528244776975,day6official,1,chuzz_woon,day6official
Kaget banget berangkat kerja liat banner ini di deket rumah. It's getting real!! Day6 konser di Surabaya https://t.co/MpRdVI64Is,1.8459719953911E+018,2024-10-14 23:36:34+00:00,byzef__,136572963,in,,181,13,354,2391,https://x.com/byzef__/status/1845971995391111527,,0,byzef__,
Touch down!! In frame anak-anaknya @wantpil__ @itsagudeday @drummingdowoon @uri_journee @kripsi_carrot @kentankentunk #DAY6_Forever_Young_Surabaya https://t.co/3ItRyQwxBk,1.84600021480686E+018,2024-10-15 01:28:42+00:00,gradatioun,9.11995928537586E+017,in,,2,0,7,55,https://x.com/gradatioun/status/1846000214806864335,"wantpil__,itsagudeday,drummingdowoon,uri_journee,kripsi_carrot,kentankentunk",6,gradatioun,wantpil__
yg hari ini ke DBL sore menjelang malam kalo liat mba2 petite size pake ransel kanken pink+topi MLB biru sapa aja. aku mau tuker tiket+bagi freebies sedikit sisanya besok #Day6ForeverYoung #DAY6_3RD_WORLDTOUR #DAY6_FOREVER_YOUNG_Indonesia #DAY6_FOREVER_YOUNG_SURABAYA https://t.co/uFpyaZPwTP,1.84600509889769E+018,2024-10-15 01:48:07+00:00,cherrydalkomhae,79103989,in,,0,1,4,4,https://x.com/cherrydalkomhae/status/1846005098897695107,,0,cherrydalkomhae,
놓삼 (letting go) pas sc doang aku record full pas mulai konser udh ga kepikiran enjoy!!! 241013 #DAY6inBALI #DAY6 #데이식스 https://t.co/Yr8VhZWIhW,1.84600998522832E+018,2024-10-15 02:07:32+00:00,sungjjiniya,1.80049210058646E+018,in,01L⊹₊⟡⋆,6,1,210,694,https://x.com/sungjjiniya/status/1846009985228329021,,0,sungjjiniya,
Hymne budak korporat yg paling gue sering denger lately #Day6 #DAY6inBALI #DAY6_FOREVER_YOUNG_Bali https://t.co/3NF1JD76dN,1.84601494941771E+018,2024-10-15 02:27:15+00:00,seahorsevoice,217302349,in,Deep ocean,0,0,1,3,https://x.com/seahorsevoice/status/1846014949417710075,,0,seahorsevoice,
Mukanya meng ndud bengep abis nangis #DAY6 #DAY6_3RD_WORLDTOUR #DAY6inBALI #DAY6_FOREVER_YOUNG_Indonesia #DAY6_FOREVER_YOUNG_Bali #YoungK #영케이 #데이식스 https://t.co/9jWCSuSx67,1.84604301830405E+018,2024-10-15 04:18:48+00:00,DeisikseuJombie,1.65126395358937E+018,in,,0,1,0,4,https://x.com/DeisikseuJombie/status/1846043018304069833,,0,DeisikseuJombie,
Guyss besokk ada yang nonton day6 di surabaya ga?? #DAY6 #DAY6_3RD_WORLDTOUR #DAY6FOREVERYOUNG,1.84606089915897E+018,2024-10-15 05:29:51+00:00,Lylynisalone,1.59284453596016E+018,in,MULFAN,0,1,0,0,https://x.com/Lylynisalone/status/1846060899158970536,,0,Lylynisalone,
Lagu yang bikin gue terjungkal brutal ke oknum kyh #DAY6 #DAY6_3RD_WORLDTOUR #DAY6inBALI #DAY6_FOREVER_YOUNG_Indonesia #DAY6_FOREVER_YOUNG_Bali #SUNGJIN #성진 #YoungK #영케이 #WONPIL #원필 #DOWOON #도운 #데이식스 https://t.co/7vpz146ZPe,1.84606793113191E+018,2024-10-15 05:57:47+00:00,DeisikseuJombie,1.65126395358937E+018,in,,0,1,0,1,https://x.com/DeisikseuJombie/status/1846067931131924668,,0,DeisikseuJombie,
Lagu ganteng dimainin sama orang ganteng #DAY6 #DAY6_3RD_WORLDTOUR #DAY6inBALI #DAY6_FOREVER_YOUNG_Indonesia #DAY6_FOREVER_YOUNG_Bali #SUNGJIN #성진 #YoungK #영케이 #WONPIL #원필 #DOWOON #도운 #데이식스 https://t.co/wBb7A4l57V,1.84607121358994E+018,2024-10-15 06:10:50+00:00,DeisikseuJombie,1.65126395358937E+018,in,,0,1,0,0,https://x.com/DeisikseuJombie/status/1846071213589954723,,0,DeisikseuJombie,
siapa yang udah ngerasain nuker tiket di Surabaya pake sistemnya mecim? ️ #DAY6_FOREVER_YOUNG_Surabaya #DAY6_FOREVER_YOUNG_Indonesia https://t.co/OKYNLiacBA,1.84607450140847E+018,2024-10-15 06:23:54+00:00,ConcertMateID,4741405790,in,Bogor - Jakarta,0,1,3,24,https://x.com/ConcertMateID/status/1846074501408477537,,0,ConcertMateID,
Growl yang menggemparkan warga #DAY6 #DAY6_3RD_WORLDTOUR #DAY6inBALI #DAY6_FOREVER_YOUNG_Indonesia #DAY6_FOREVER_YOUNG_Bali #SUNGJIN #성진 #YoungK #영케이 #WONPIL #원필 #DOWOON #도운 #데이식스 https://t.co/HAyvNBjTme,1.84607932770144E+018,2024-10-15 06:43:04+00:00,DeisikseuJombie,1.65126395358937E+018,in,,0,1,0,4,https://x.com/DeisikseuJombie/status/1846079327701447011,,0,DeisikseuJombie,
Aaawwww its getting reeaaallll. Papiiiii putrimu mau sungkem kepadamuuu #DAY6_FOREVER_YOUNG_Surabaya #DAY6_FOREVER_YOUNG_Indonesia https://t.co/GJXrp6wQd4,1.84611440948542E+018,2024-10-15 09:02:29+00:00,lilzorion,4330440914,in,Heaven,0,3,0,2,https://x.com/lilzorion/status/1846114409485422690,,0,lilzorion,
 SECURED 4 Tix DAY6 3RD WORLD TOUR &lt;FOREVER YOUNG&gt; in Surabaya 1 Tix Pink B SC non Membership Thankyou kakak sudah nitip satset di kita! #DAY6 #데이식스 #DAY6_3RD_WORLDTOUR #DAY6_FOREVER_YOUNG_Indonesia https://t.co/NZzUrglXn4,1.8461156886181E+018,2024-10-15 09:07:33+00:00,jastipby_me,8.17200378185858E+017,en,"Jakarta, Indonesia",0,1,0,0,https://x.com/jastipby_me/status/1846115688618119590,,0,jastipby_me,
day6 lagi rehearsal yaa kayaknyaaa #DAY6_FOREVER_YOUNG_Surabaya https://t.co/zle8VVMAIt,1.84612098052102E+018,2024-10-15 09:28:35+00:00,nominbestie,7.34687706903515E+017,in,selective,0,0,1,8,https://x.com/nominbestie/status/1846120980521038003,,0,nominbestie,
Nangisss bangett akhirnya bisa ngerasain dateng ke venue konser modal bensin doang alias ga pake kereta btw ini mereka sedang latihan ges kedengeran sampe luar .. paling kenceng suara drumnya sii #DAY6_FOREVER_YOUNG_Surabaya https://t.co/1CrLzEF53M,1.84613112037259E+018,2024-10-15 10:08:53+00:00,mangyu97_k,1.20978658639457E+018,in,"surabaya , indonesia",2,1,23,121,https://x.com/mangyu97_k/status/1846131120372592722,,0,mangyu97_k,
See you besok sayang² ku #DAY6_FOREVER_YOUNG_Surabaya https://t.co/llTXDbgC4M,1.84614195753564E+018,2024-10-15 10:51:56+00:00,hi_yeppeosseo,545770832,in,97's,0,2,0,8,https://x.com/hi_yeppeosseo/status/1846141957535649968,,0,hi_yeppeosseo,
jiwa raga rasanya udah di BCIS pls #Day6ForeverYoung #DAY6_3RD_WORLDTOUR #DAY6_FOREVER_YOUNG_Indonesia https://t.co/JgCrM2jgo5,1.84614622871708E+018,2024-10-15 11:08:55+00:00,afishcow,1.55005664092132E+018,in,she/her,1,0,0,0,https://x.com/afishcow/status/1846146228717081077,,0,afishcow,
pernah kepikiran gak kelar konser beli pentol??? iya BELI PENTOL this is surabaya /sorry norak #DAY6 #데이식스 #DAY6_3RD_WORLDTOUR #DAY6_FOREVER_YOUNG_INDONESIA #Day6inSurabaya https://t.co/PciwzK2Xnh,1.84617378016465E+018,2024-10-15 12:58:24+00:00,agnezckh,139670619,in,,57,15,174,1164,https://x.com/agnezckh/status/1846173780164665852,,0,agnezckh,
