full_text,id_str,created_at,username,user_id_str,lang,location,quote_count,reply_count,retweet_count,favorite_count,tweet_url,mentions,mention_count,target,source
Bisa gk sih besok day6 cover lagu indo lagi? Tapi lagu D Masiv - Cinta ini Membunuhku ya soalnya emang rasa cinta ke day6 ini berdarah2 banget dan perlahan membunuh @mecimapro,1.91828818701075E+018,2025-05-02 12:55:18+00:00,@mochimawru,1.04451366085962E+018,in,,0,0,0,1,https://x.com/mochimawru/status/1918288187010760912,['mecimapro'],1,mecimapro,@mochimawru
gk rela bgt day6 gweh diginiin ma mecima anjg bgt lu @mecimapro,1.9184554336664E+018,2025-05-02 23:59:53+00:00,@abellrecently,1.79803686661434E+018,in,,0,0,0,1,https://x.com/abellrecently/status/1918455433666404458,['mecimapro'],1,mecimapro,@abellrecently
Belasan tahun ngonser kpop gapernah seburuk ini.. Dr awal ticketing pindah venue sampai hari H.. BURUK..!!! Gila lu ya @mecimapro Tanya sama semua yg datang konser #Day6 hari ini.. Ada ga yg senang..?! KONSER DENGAN PROMOTOR TEBURUK YANG PERNAH GW DATANGI..,1.91860789404128E+018,2025-05-03 10:05:42+00:00,@itaJuwi,63023900,in,,0,0,0,0,https://x.com/itaJuwi/status/1918607894041285056,['mecimapro'],1,mecimapro,@itaJuwi
isi tl gue kebanyakan inter fans korea yg murka sm konser encore #DAY6_3RD_WORLDTOUR_Jakarta maluuu cim maluuu @mecimapro ,1.91861911004659E+018,2025-05-03 10:50:16+00:00,@dewiisrtika_,111539625,in,,0,0,0,4,https://x.com/dewiisrtika_/status/1918619110046609715,['mecimapro'],1,mecimapro,@dewiisrtika_
Konser day6 jakarta ini bikin malu banget @mecimapro. Ini se-Indo kena njir karena fans luar ya ada. Dih dzalim urusan begini nambahin beban ae lu jadi wni elah,1.91862585381191E+018,2025-05-03 11:17:04+00:00,@exospaww,1.10185005889334E+018,in,,0,0,0,0,https://x.com/exospaww/status/1918625853811925303,['mecimapro'],1,mecimapro,@exospaww
nangis bgt liat konser day6... kacau kata gue KACAU @mecimapro,1.91863589276528E+018,2025-05-03 11:56:58+00:00,@pudubbych,1.36222015229771E+018,in,,0,0,0,0,https://x.com/pudubbych/status/1918635892765282635,['mecimapro'],1,mecimapro,@pudubbych
gua bukan myday tapi sumpah mau nangis liat konser day6 kaya gitu. @mecimapro sampe kamus bahasa kotor gue keknya gacukup deh buat ngatain lu. orang nonton konser bayar anjir tapi treatment lo ga banget tai,1.91864445516422E+018,2025-05-03 12:30:59+00:00,@blujeals,1.74529429699003E+018,in,,0,0,0,0,https://x.com/blujeals/status/1918644455164235919,['mecimapro'],1,mecimapro,@blujeals
semoga enhypen kl konser promotornya bukan lo ya @mecimapro . liat konser day6 hari ini ngenes bgt mana refundnya gajelas tot.,1.91865193784902E+018,2025-05-03 13:00:43+00:00,@ddeonbby,1.67552388243717E+018,in,,0,0,0,0,https://x.com/ddeonbby/status/1918651937849037063,['mecimapro'],1,mecimapro,@ddeonbby
THIS IS WHAT THE PROMOTER DIDN T SHOW YOU @jypnation @day6official @LiveNation @LiveNationKpop FANS LEFT OUTSIDE THE VENUE. NO REFUND AFTER THE CONCERT WAS MOVED FROM JIS TO MADYA. MECIMAPRO STILL OWES AROUND ₩330 000 000 TO 1 900 FANS AND COUNTING. A CONCERT SHOULD NOT BE https://t.co/1W2AsTnj7D,1.91867617229842E+018,2025-05-03 14:37:01+00:00,@switjchaos,1.5927138438803E+018,en,,252,37,6778,11760,https://x.com/switjchaos/status/1918676172298432881,"['jypnation', 'day6official', 'LiveNation', 'LiveNationKpop']",4,jypnation,@switjchaos
Mana moving chartnya? Kenapa jadi DAY6 lu suruh jalan kaki keliling madya? @mecimapro,1.91869817661517E+018,2025-05-03 16:04:27+00:00,@stawrberrycake,1.21203662246569E+018,in,,4,0,4,12,https://x.com/stawrberrycake/status/1918698176615170220,['mecimapro'],1,mecimapro,@stawrberrycake
